id,rut,ocupacion
0,46251263-5,empleado
1,92310665-0,empleado
2,77837095-6,empleado
3,66922079-0,empleado
4,79464991-k,empleado
5,22997103-4,empleado
6,61890115-7,empleado
7,45347413-5,empleado
8,54864080-6,empleado
9,86447590-6,empleado
10,45355149-0,empleado
11,19942007-0,empleado
12,79263691-8,empleado
13,32165632-3,empleado
14,66760004-9,empleado
15,49326776-0,empleado
16,97804380-1,empleado
17,83399209-0,empleado
18,86260284-6,empleado
19,19209075-k,empleado
20,31653150-4,empleado
21,64100872-9,empleado
22,72629258-2,empleado
23,17263415-k,empleado
24,18208603-7,empleado
25,90414316-2,empleado
26,16045471-7,empleado
27,28792266-3,empleado
28,68353685-7,empleado
29,99428020-1,empleado
30,24840265-2,empleado
31,79850677-3,empleado
32,95741388-9,empleado
33,77210598-3,empleado
34,96187015-1,empleado
35,68120110-6,empleado
36,56619171-7,empleado
37,51616764-5,empleado
38,60916764-5,empleado
39,81252987-0,empleado
40,59192155-k,empleado
41,41391265-2,empleado
42,76041278-3,empleado
43,78158392-8,empleado
44,49995619-3,empleado
45,37156185-4,empleado
46,85410626-0,empleado
47,10116173-0,empleado
48,88757035-3,empleado
49,68583239-9,empleado
50,35492826-4,empleado
51,86683089-4,empleado
52,28320055-8,empleado
53,86043030-4,empleado
54,27604578-4,empleado
55,35412165-4,empleado
56,80869010-1,empleado
57,86555166-5,empleado
58,61036645-7,empleado
59,40373818-2,empleado
60,24149278-8,empleado
61,43161018-3,empleado
62,67938721-9,empleado
63,18768050-6,empleado
64,49881324-0,empleado
65,36578275-k,empleado
66,92505908-0,empleado
67,16483997-4,empleado
68,91957885-8,empleado
69,85930746-9,empleado
70,43630977-5,empleado
71,70876733-6,empleado
72,36731956-9,empleado
73,42127645-5,empleado
74,38158176-4,empleado
75,48292072-1,empleado
76,86434438-0,empleado
77,62974576-9,empleado
78,71881591-6,empleado
79,16670974-1,empleado
80,19027799-2,empleado
81,36669949-k,jefe
82,58179139-9,empleado
83,80146994-9,empleado
84,34902561-2,empleado
85,27811535-6,empleado
86,37653211-9,empleado
87,78734770-3,empleado
88,82260254-1,empleado
89,92253121-8,empleado
90,53325503-5,empleado
91,27423756-2,empleado
92,56840142-5,empleado
93,99233768-0,empleado
94,95541819-0,empleado
95,61773216-5,empleado
96,13635178-8,empleado
97,93310611-k,empleado
98,85073231-0,empleado
99,41601315-2,empleado
100,98121429-3,empleado
101,80511365-0,empleado
102,62815723-5,empleado
103,33734821-1,empleado
104,25806104-7,empleado
105,23514054-3,empleado
106,72309503-4,empleado
107,48908396-5,empleado
108,71198104-7,empleado
109,76534733-5,empleado
110,73222374-6,empleado
111,28597225-6,empleado
112,32700742-4,empleado
113,28118803-8,empleado
114,34572846-5,empleado
115,42723522-k,empleado
116,15591154-9,empleado
117,16636734-4,empleado
118,63795324-9,empleado
119,65538426-k,empleado
120,62942419-9,empleado
121,33236616-5,empleado
122,31679088-7,empleado
123,82581279-2,empleado
124,35069575-3,empleado
125,99927220-7,empleado
126,70106627-8,empleado
127,43953571-7,empleado
128,51194123-7,empleado
129,75490842-4,empleado
130,64336012-8,empleado
131,54023774-3,empleado
132,45008209-0,jefe
133,40538537-6,empleado
134,12187269-2,empleado
135,27952560-4,empleado
136,55823148-3,empleado
137,67978268-1,empleado
138,99070181-4,empleado
139,50042631-4,empleado
140,99466469-7,empleado
141,36664523-3,empleado
142,44812887-3,empleado
143,34643031-1,empleado
144,21759577-0,empleado
145,32992512-9,empleado
146,85553386-3,empleado
147,45510769-5,jefe
148,45740927-3,empleado
149,98849412-7,empleado
150,42300579-3,empleado
151,84921010-6,empleado
152,51248373-9,empleado
153,38628283-8,jefe
154,78662700-1,empleado
155,80703512-6,empleado
156,37142311-7,empleado
157,97036167-7,empleado
158,53967694-6,empleado
159,23407008-8,empleado
160,76494450-k,empleado
161,56229978-5,empleado
162,40269415-7,empleado
163,80592689-9,empleado
164,52576933-k,empleado
165,71612139-9,empleado
166,23632306-4,empleado
167,16413527-6,jefe
168,77489819-0,empleado
169,85301240-8,empleado
170,53721649-2,empleado
171,12655924-0,empleado
172,79154026-7,empleado
173,24115633-8,empleado
174,34917249-6,empleado
175,85034590-2,empleado
176,19680912-0,empleado
177,40455577-4,empleado
178,81401624-2,empleado
179,40978316-3,empleado
180,77189827-0,empleado
181,13093741-1,empleado
182,26123513-7,empleado
183,12874915-2,empleado
184,15623590-3,empleado
185,45981588-0,empleado
186,82003178-4,empleado
187,29415476-0,empleado
188,38631846-8,empleado
189,61242043-2,empleado
190,28954972-2,empleado
191,88094734-6,empleado
192,69163174-5,empleado
193,53042462-6,empleado
194,81330568-2,empleado
195,86679007-8,empleado
196,83896534-2,empleado
197,91210142-8,empleado
198,72570829-7,empleado
199,58044372-9,empleado
200,40640800-0,empleado
201,73324033-4,jefe
202,80549244-9,empleado
203,40070443-0,empleado
204,68377701-3,empleado
205,20228556-2,empleado
206,16264932-9,empleado
207,80580088-7,empleado
208,84167281-k,empleado
209,93044599-1,empleado
210,47922722-5,empleado
211,41183684-3,empleado
212,94947578-6,empleado
213,33890329-4,empleado
214,91085975-7,empleado
215,96562711-1,empleado
216,52392092-8,empleado
217,91938760-2,empleado
218,98518861-0,empleado
219,72275204-k,empleado
220,70388205-6,empleado
221,80924311-7,empleado
222,73031326-8,jefe
223,66970190-k,empleado
224,81641085-1,empleado
225,17371278-2,empleado
226,72447098-k,empleado
227,59161375-8,empleado
228,14106853-9,jefe
229,94506083-2,empleado
230,24878659-0,empleado
231,23937155-8,empleado
232,79407634-0,empleado
233,27083103-6,empleado
234,77757931-2,jefe
235,21290952-1,empleado
236,79695896-0,empleado
237,89512502-4,empleado
238,31256887-k,empleado
239,46067685-1,empleado
240,58143457-k,empleado
241,69719019-8,jefe
242,81207716-3,empleado
243,92394961-5,empleado
244,99149710-2,empleado
245,92851961-9,empleado
246,22637365-9,empleado
247,41694611-6,empleado
248,28231652-8,empleado
249,97321798-4,empleado
250,35773530-0,empleado
251,73745994-2,empleado
252,32644502-9,empleado
253,62220169-0,empleado
254,69020528-9,empleado
255,62887150-7,empleado
256,16687104-2,empleado
257,51630030-2,empleado
258,47249752-9,empleado
259,55868629-4,empleado
260,75766984-6,empleado
261,32817993-8,empleado
262,83538271-0,empleado
263,80628376-2,empleado
264,44422964-0,empleado
265,31691559-0,empleado
266,31457093-6,empleado
267,61863167-2,empleado
268,91051274-9,empleado
269,81019249-6,empleado
270,75106425-k,empleado
271,52581344-4,empleado
272,13700503-4,empleado
273,45677093-2,empleado
274,18912034-6,empleado
275,22876040-4,empleado
276,29742884-5,empleado
277,13295853-k,empleado
278,22252251-k,empleado
279,53642790-2,jefe
280,83481742-k,empleado
281,84095044-1,empleado
282,98544321-1,empleado
283,96404014-1,empleado
284,37731534-0,empleado
285,55676647-9,jefe
286,48766480-4,empleado
287,15119459-1,empleado
288,76849115-1,empleado
289,15765031-9,empleado
290,32726853-8,empleado
291,59260036-6,empleado
292,19130484-5,empleado
293,57325256-k,empleado
294,80356838-3,empleado
295,10119008-0,jefe
296,57437538-k,empleado
297,80092681-5,empleado
298,40503382-8,empleado
299,14292252-5,empleado
300,24215497-5,jefe
301,60987705-7,empleado
302,59959821-9,empleado
303,97418193-2,empleado
304,88034198-7,jefe
305,56725663-4,jefe
306,54157127-2,empleado
307,48979148-k,jefe
308,30492842-5,jefe
309,84671162-7,empleado
310,57342278-3,empleado
311,73540572-1,jefe
312,48762156-0,empleado
313,58509457-9,empleado
314,58188294-7,empleado
315,25844754-9,jefe
316,29903675-8,empleado
317,66844166-1,empleado
318,32273643-6,empleado
