id,rut
173,65238271-1
347,34864642-7
149,31113786-7
264,51242629-8
270,73453102-2
219,33016426-3
114,28012525-3
37,95520055-1
256,95226644-6
162,86103635-9
18,51153844-0
243,12033288-0
199,54982068-9
207,66646618-7
225,26905798-k
87,66258468-1
92,21666289-k
222,20335324-3
23,77477421-1
208,15298663-7
42,80291272-2
295,79195789-3
338,23748548-3
113,52189199-8
0,18167947-6
346,79735673-5
119,66954467-7
215,79693636-3
280,28630079-0
165,44867899-7
299,14761964-2
227,77625718-4
34,93900888-8
138,88132030-4
183,87649058-7
277,46025545-7
356,66119831-1
240,56119224-3
142,36030482-5
129,65573855-k
357,81600879-4
2,44253237-0
3,45026478-4
317,48425773-6
157,66920820-0
158,93057304-3
4,75576764-6
309,33904341-8
151,87631642-0
98,48679409-7
242,11087572-k
98,48679409-7
63,59814228-9
74,88772168-8
229,15333675-k
352,73352137-6
174,54230570-3
46,40350724-5
164,47329036-7
217,48925896-k
187,49604231-k
364,81492646-k
86,79425659-4
343,46080300-4
126,92311983-3
319,55956975-5
356,66119831-1
79,72070561-3
126,92311983-3
363,67391164-1
139,39473167-6
267,49860637-7
298,48040287-1
361,95932617-7
10,75270010-9
166,32690774-k
35,30862862-0
354,96557795-5
118,42621036-3
84,23713134-7
221,45276568-3
136,46680387-1
316,47738259-2
85,70624789-0
251,65884381-8
248,63360085-6
259,92554015-3
154,75523496-6
28,23000993-7
157,66920820-0
32,36625090-5
101,33402225-0
108,47067447-4
50,52916249-9
175,76871405-3
110,27650119-4
321,29858450-6
30,66199185-2
228,81698647-8
99,36259502-9
351,44126502-6
323,46012714-9
1,72810804-5
275,51317447-0
156,34424260-7
200,66336340-9
353,70156418-9
307,71591727-0
13,20297901-7
270,73453102-2
89,40403791-9
249,26257768-6
261,49036882-5
103,51755919-9
2,44253237-0
340,75653640-0
344,99265623-9
349,13463271-2
129,65573855-k
28,23000993-7
295,79195789-3
335,10959343-5
143,95667888-9
342,50270274-2
316,47738259-2
49,86664654-6
363,67391164-1
335,10959343-5
324,43630930-9
325,56425505-k
13,20297901-7
60,23298212-8
150,87991170-2
204,42168093-0
59,31706054-8
145,96007294-4
4,75576764-6
3,45026478-4
189,90870389-8
217,48925896-k
66,92170041-5
316,47738259-2
59,31706054-8
235,77814675-4
182,50453382-4
67,64272663-3
186,92445451-2
225,26905798-k
109,58557550-k
52,22145359-k
344,99265623-9
